consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:40:52'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:40:53'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:40:54'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:40:55'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:40:56'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:40:57'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:40:58'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:40:59'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:41:00'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:41:01'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:41:02'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:41:03'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:41:04'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:41:05'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:41:06'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:41:07'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:41:08'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:41:09'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:41:10'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:41:11'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:41:12'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:41:13'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:41:14'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:41:15'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:41:16'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:41:17'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:41:18'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:41:19'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:41:20'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:41:21'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:41:22'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:41:23'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:41:24'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:41:35'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:41:36'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:41:37'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:41:38'}
kafka-producer          | Sent: {'current_time': '2024-09-26 14:41:39'}
consumer_from_newest    | Received: {'current_time': '2024-09-26 14:41:39'}
consumer_from_oldest    | Received: {'current_time': '2024-09-26 14:41:39'}
